Time,Velocity,Altitude,Pressure,Temperature
2020:01:10:11:19:25:798,250.66657,10176.42511,61.38185,-42.08458
2020:01:10:11:19:25:800,291.58589,10023.62358,76.99308,-45.00683
2020:01:10:11:19:25:801,276.96183,10011.46043,63.50417,36.65664
2020:01:10:11:19:25:802,284.92019,10186.77447,71.80421,25.90710
2020:01:10:11:19:25:802,263.93606,10181.29360,99.08203,-40.44814
2020:01:10:11:19:25:802,254.34657,10188.66798,61.14765,33.29248
2020:01:10:11:19:25:802,277.80286,10131.55742,81.02957,26.25094
2020:01:10:11:19:25:803,284.42649,10132.96815,84.58976,29.44874
2020:01:10:11:19:25:803,277.08965,10170.20627,64.78076,-22.40184
2020:01:10:11:19:25:804,266.10159,10048.68547,55.46517,-31.33444
2020:01:10:11:19:25:804,292.75484,10009.41378,42.66213,-23.27391
2020:01:10:11:19:25:809,289.66522,10185.54901,88.68947,-35.05838
2020:01:10:11:19:25:810,251.23647,10193.01874,79.05605,14.02276
2020:01:10:11:19:25:810,297.04603,10160.20479,47.47288,27.88110
2020:01:10:11:19:25:811,273.73983,10161.61182,59.44349,-11.68450
2020:01:10:11:19:25:811,273.60870,10162.75268,83.03199,-49.19117
2020:01:10:11:19:25:811,270.13237,10179.74151,85.35888,32.27233
2020:01:10:11:19:25:812,268.30802,10183.33812,55.36359,-38.94540
2020:01:10:11:19:25:812,258.51336,10167.25185,57.89991,-13.22078
2020:01:10:11:19:25:813,255.09604,10010.64096,66.87468,33.39091
2020:01:10:11:19:25:813,257.95728,10002.25896,64.57077,26.11808
